"Plot Title: 10998654"
"#","Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)","Coupler Detached (LGR S/N: 10998654)","End Of File (LGR S/N: 10998654)"
247,02/03/17 07:14:11 PM,82.864,0.0,,
248,02/03/17 08:14:11 PM,82.864,0.0,,
249,02/03/17 09:14:11 PM,82.686,0.0,,
250,02/03/17 10:14:11 PM,82.686,0.0,,
251,02/03/17 11:14:11 PM,82.508,0.0,,
252,02/04/17 12:14:11 AM,82.330,0.0,,
253,02/04/17 01:14:11 AM,82.330,0.0,,
254,02/04/17 02:14:11 AM,82.330,0.0,,
255,02/04/17 03:14:11 AM,82.152,0.0,,
256,02/04/17 04:14:11 AM,81.797,0.0,,
257,02/04/17 05:14:11 AM,81.975,0.0,,
258,02/04/17 06:14:11 AM,81.797,0.0,,
259,02/04/17 07:14:11 AM,82.152,43.0,,
260,02/04/17 08:14:11 AM,81.975,128.0,,
261,02/04/17 09:14:11 AM,81.975,224.0,,
262,02/04/17 10:14:11 AM,82.152,304.0,,
263,02/04/17 11:14:11 AM,82.152,304.0,,
264,02/04/17 12:14:11 PM,82.330,336.0,,
265,02/04/17 01:14:11 PM,82.152,320.0,,
266,02/04/17 02:14:11 PM,82.152,176.0,,
267,02/04/17 03:14:11 PM,82.152,168.0,,
268,02/04/17 04:14:11 PM,82.152,101.0,,
269,02/04/17 05:14:11 PM,83.043,73.0,,
270,02/04/17 06:14:11 PM,83.043,4.0,,
271,02/04/17 07:14:11 PM,82.686,0.0,,
272,02/04/17 08:14:11 PM,82.686,0.0,,
273,02/04/17 09:14:11 PM,82.508,0.0,,
274,02/04/17 10:14:11 PM,82.508,0.0,,
275,02/04/17 11:14:11 PM,82.508,0.0,,
276,02/05/17 12:14:11 AM,82.330,0.0,,
277,02/05/17 01:14:11 AM,81.975,0.0,,
278,02/05/17 02:14:11 AM,82.152,0.0,,
279,02/05/17 03:14:11 AM,81.975,0.0,,
280,02/05/17 04:14:11 AM,81.975,0.0,,
281,02/05/17 05:14:11 AM,81.975,0.0,,
282,02/05/17 06:14:11 AM,81.975,0.0,,
283,02/05/17 07:14:11 AM,82.152,33.0,,
284,02/05/17 08:14:11 AM,82.152,117.0,,
285,02/05/17 09:14:11 AM,82.152,176.0,,
286,02/05/17 10:14:11 AM,82.152,256.0,,
287,02/05/17 11:14:11 AM,82.152,288.0,,
288,02/05/17 12:14:11 PM,82.330,336.0,,
289,02/05/17 01:14:11 PM,82.330,256.0,,
290,02/05/17 02:14:11 PM,82.330,184.0,,
