Plot Title: 20051877,,,,
#,"Date Time, GMT+05:00","Temp, ¡C (LGR S/N: 20051877, SEN S/N: 20051877)","Intensity, Lux (LGR S/N: 20051877, SEN S/N: 20051877)",End Of File (LGR S/N: 20051877)
24951,12/17/17 03:30:00 AM,28.853,0,
24952,12/17/17 03:45:00 AM,28.754,0,
24953,12/17/17 04:00:00 AM,28.754,0,
24954,12/17/17 04:15:00 AM,28.754,0,
24955,12/17/17 04:30:00 AM,28.754,0,
24956,12/17/17 04:45:00 AM,28.754,0,
24957,12/17/17 05:00:00 AM,28.754,0,
24958,12/17/17 05:15:00 AM,28.754,0,
24959,12/17/17 05:30:00 AM,28.754,0,
24960,12/17/17 05:45:00 AM,28.754,0,
24961,12/17/17 06:00:00 AM,28.754,0,
24962,12/17/17 06:15:00 AM,28.754,0,
24963,12/17/17 06:30:00 AM,28.754,0,
24964,12/17/17 06:45:00 AM,28.754,0,
24965,12/17/17 07:00:00 AM,28.754,0,
24966,12/17/17 07:15:00 AM,28.754,10.8,
24967,12/17/17 07:30:00 AM,28.655,0,
24968,12/17/17 07:45:00 AM,28.655,10.8,
24969,12/17/17 08:00:00 AM,28.754,21.5,
24970,12/17/17 08:15:00 AM,28.655,32.3,
24971,12/17/17 08:30:00 AM,28.655,43.1,
24972,12/17/17 08:45:00 AM,28.655,64.6,
24973,12/17/17 09:00:00 AM,28.655,86.1,
24974,12/17/17 09:15:00 AM,28.655,75.3,
24975,12/17/17 09:30:00 AM,28.655,118.4,
24976,12/17/17 09:45:00 AM,28.655,118.4,
24977,12/17/17 10:00:00 AM,28.655,204.5,
24978,12/17/17 10:15:00 AM,28.655,193.8,
24979,12/17/17 10:30:00 AM,28.754,161.5,
24980,12/17/17 10:45:00 AM,28.655,86.1,
24981,12/17/17 11:00:00 AM,28.754,75.3,
24982,12/17/17 11:15:00 AM,28.754,107.6,
24983,12/17/17 11:30:00 AM,28.853,269.1,
24984,12/17/17 11:45:00 AM,28.853,355.2,
24985,12/17/17 12:00:00 PM,28.853,398.3,
24986,12/17/17 12:15:00 PM,28.953,344.4,
24987,12/17/17 12:30:00 PM,28.953,258.3,
24988,12/17/17 12:45:00 PM,29.053,279.9,
24989,12/17/17 01:00:00 PM,29.053,193.8,
24990,12/17/17 01:15:00 PM,29.053,301.4,
24991,12/17/17 01:30:00 PM,29.053,193.8,
24992,12/17/17 01:45:00 PM,29.053,96.9,
24993,12/17/17 02:00:00 PM,29.053,129.2,
24994,12/17/17 02:15:00 PM,29.053,150.7,
24995,12/17/17 02:30:00 PM,29.053,150.7,
24996,12/17/17 02:45:00 PM,29.053,150.7,
24997,12/17/17 03:00:00 PM,29.053,139.9,
24998,12/17/17 03:15:00 PM,29.053,161.5,
24999,12/17/17 03:30:00 PM,29.053,107.6,
25000,12/17/17 03:45:00 PM,28.953,107.6,
25001,12/17/17 04:00:00 PM,28.953,43.1,
25002,12/17/17 04:15:00 PM,28.953,10.8,
25003,12/17/17 04:30:00 PM,28.853,0,
25004,12/17/17 04:45:00 PM,28.853,0,
25005,12/17/17 05:00:00 PM,28.853,0,
25006,12/17/17 05:15:00 PM,28.754,0,
25007,12/17/17 05:30:00 PM,28.754,0,
25008,12/17/17 05:45:00 PM,28.754,0,
25009,12/17/17 06:00:00 PM,28.754,0,
25010,12/17/17 06:15:00 PM,28.853,0,
25011,12/17/17 06:30:00 PM,28.853,0,
25012,12/17/17 06:45:00 PM,28.853,0,
25013,12/17/17 07:00:00 PM,28.853,0,
25014,12/17/17 07:15:00 PM,28.853,0,
25015,12/17/17 07:30:00 PM,28.754,0,
25016,12/17/17 07:45:00 PM,28.754,0,
25017,12/17/17 08:00:00 PM,28.853,0,
25018,12/17/17 08:15:00 PM,28.754,0,
25019,12/17/17 08:30:00 PM,28.754,0,
25020,12/17/17 08:45:00 PM,28.754,0,
25021,12/17/17 09:00:00 PM,28.754,0,
25022,12/17/17 09:15:00 PM,28.754,0,
25023,12/17/17 09:30:00 PM,28.754,0,
25024,12/17/17 09:45:00 PM,28.754,0,
25025,12/17/17 10:00:00 PM,28.754,0,
25026,12/17/17 10:15:00 PM,28.754,0,
25027,12/17/17 10:30:00 PM,28.754,0,
25028,12/17/17 10:45:00 PM,28.754,0,
25029,12/17/17 11:00:00 PM,28.754,0,
25030,12/17/17 11:15:00 PM,28.754,0,
25031,12/17/17 11:30:00 PM,28.655,0,
25032,12/17/17 11:45:00 PM,28.655,0,
25033,12/18/17 12:00:00 AM,28.655,0,
25034,12/18/17 12:15:00 AM,28.655,0,
25035,12/18/17 12:30:00 AM,28.655,0,
25036,12/18/17 12:45:00 AM,28.655,0,
25037,12/18/17 01:00:00 AM,28.754,0,
25038,12/18/17 01:15:00 AM,28.754,0,
25039,12/18/17 01:30:00 AM,28.754,0,
25040,12/18/17 01:45:00 AM,28.754,0,
25041,12/18/17 02:00:00 AM,28.754,0,
25042,12/18/17 02:15:00 AM,28.754,0,
25043,12/18/17 02:30:00 AM,28.754,0,
25044,12/18/17 02:45:00 AM,28.754,0,
25045,12/18/17 03:00:00 AM,28.655,0,
25046,12/18/17 03:15:00 AM,28.655,0,
25047,12/18/17 03:30:00 AM,28.754,0,
25048,12/18/17 03:45:00 AM,28.754,0,
25049,12/18/17 04:00:00 AM,28.754,0,
25050,12/18/17 04:15:00 AM,28.754,0,
25051,12/18/17 04:30:00 AM,28.754,0,
25052,12/18/17 04:45:00 AM,28.754,0,
25053,12/18/17 05:00:00 AM,28.754,0,
25054,12/18/17 05:15:00 AM,28.754,0,
25055,12/18/17 05:30:00 AM,28.754,0,
25056,12/18/17 05:45:00 AM,28.754,0,
25057,12/18/17 06:00:00 AM,28.754,0,
25058,12/18/17 06:15:00 AM,28.754,0,
25059,12/18/17 06:30:00 AM,28.754,0,
25060,12/18/17 06:45:00 AM,28.754,0,
25061,12/18/17 07:00:00 AM,28.754,0,
25062,12/18/17 07:15:00 AM,28.754,0,
25063,12/18/17 07:30:00 AM,28.754,0,
25064,12/18/17 07:45:00 AM,28.754,0,
25065,12/18/17 08:00:00 AM,28.754,10.8,
25066,12/18/17 08:15:00 AM,28.754,21.5,
25067,12/18/17 08:30:00 AM,28.754,21.5,
25068,12/18/17 08:45:00 AM,28.754,21.5,
25069,12/18/17 09:00:00 AM,28.754,53.8,
25070,12/18/17 09:15:00 AM,28.754,64.6,
25071,12/18/17 09:30:00 AM,28.754,53.8,
25072,12/18/17 09:45:00 AM,28.754,86.1,
25073,12/18/17 10:00:00 AM,28.754,139.9,
25074,12/18/17 10:15:00 AM,28.754,139.9,
25075,12/18/17 10:30:00 AM,28.754,107.6,
25076,12/18/17 10:45:00 AM,28.754,172.2,
25077,12/18/17 11:00:00 AM,28.853,215.3,
25078,12/18/17 11:15:00 AM,28.754,161.5,
25079,12/18/17 11:30:00 AM,28.754,129.2,
25080,12/18/17 11:45:00 AM,28.853,139.9,
25081,12/18/17 12:00:00 PM,28.754,139.9,
25082,12/18/17 12:15:00 PM,28.754,139.9,
25083,12/18/17 12:30:00 PM,28.953,150.7,
25084,12/18/17 12:45:00 PM,28.953,193.8,
25085,12/18/17 01:00:00 PM,28.953,204.5,
25086,12/18/17 01:15:00 PM,28.953,183,
25087,12/18/17 01:30:00 PM,28.953,172.2,
25088,12/18/17 01:45:00 PM,28.953,215.3,
25089,12/18/17 02:00:00 PM,28.953,204.5,
25090,12/18/17 02:15:00 PM,28.953,139.9,
25091,12/18/17 02:30:00 PM,28.953,129.2,
25092,12/18/17 02:45:00 PM,28.953,118.4,
25093,12/18/17 03:00:00 PM,28.953,129.2,
25094,12/18/17 03:15:00 PM,28.953,86.1,
25095,12/18/17 03:30:00 PM,28.953,75.3,
25096,12/18/17 03:45:00 PM,28.953,86.1,
25097,12/18/17 04:00:00 PM,28.953,107.6,
25098,12/18/17 04:15:00 PM,28.953,43.1,
25099,12/18/17 04:30:00 PM,28.953,43.1,
25100,12/18/17 04:45:00 PM,28.953,21.5,
25101,12/18/17 05:00:00 PM,28.953,32.3,
25102,12/18/17 05:15:00 PM,28.953,10.8,
25103,12/18/17 05:30:00 PM,28.953,0,
25104,12/18/17 05:45:00 PM,28.953,0,
25105,12/18/17 06:00:00 PM,28.953,0,
25106,12/18/17 06:15:00 PM,28.953,0,
25107,12/18/17 06:30:00 PM,28.853,0,
25108,12/18/17 06:45:00 PM,28.853,0,
25109,12/18/17 07:00:00 PM,28.853,0,
25110,12/18/17 07:15:00 PM,28.853,0,
25111,12/18/17 07:30:00 PM,28.853,0,
25112,12/18/17 07:45:00 PM,28.853,0,
25113,12/18/17 08:00:00 PM,28.853,0,
25114,12/18/17 08:15:00 PM,28.853,0,
25115,12/18/17 08:30:00 PM,28.853,0,
25116,12/18/17 08:45:00 PM,28.853,0,
25117,12/18/17 09:00:00 PM,28.853,0,
25118,12/18/17 09:15:00 PM,28.853,0,
25119,12/18/17 09:30:00 PM,28.853,0,
25120,12/18/17 09:45:00 PM,28.853,0,
25121,12/18/17 10:00:00 PM,28.754,0,
25122,12/18/17 10:15:00 PM,28.754,0,
25123,12/18/17 10:30:00 PM,28.754,0,
25124,12/18/17 10:45:00 PM,28.754,0,
25125,12/18/17 11:00:00 PM,28.754,0,
25126,12/18/17 11:15:00 PM,28.754,0,
25127,12/18/17 11:30:00 PM,28.655,0,
25128,12/18/17 11:45:00 PM,28.655,0,
25129,12/19/17 12:00:00 AM,28.456,0,
25130,12/19/17 12:15:00 AM,28.555,0,
25131,12/19/17 12:30:00 AM,28.357,0,
25132,12/19/17 12:45:00 AM,28.456,0,
25133,12/19/17 01:00:00 AM,28.555,0,
25134,12/19/17 01:15:00 AM,28.357,0,
25135,12/19/17 01:30:00 AM,28.258,0,
25136,12/19/17 01:45:00 AM,28.159,0,
25137,12/19/17 02:00:00 AM,28.456,0,
25138,12/19/17 02:15:00 AM,27.764,0,
25139,12/19/17 02:30:00 AM,28.357,0,
25140,12/19/17 02:45:00 AM,28.258,0,
25141,12/19/17 03:00:00 AM,28.357,0,
25142,12/19/17 03:15:00 AM,28.357,0,
25143,12/19/17 03:30:00 AM,28.456,0,
25144,12/19/17 03:45:00 AM,28.456,0,
25145,12/19/17 04:00:00 AM,28.456,0,
25146,12/19/17 04:15:00 AM,28.456,0,
25147,12/19/17 04:30:00 AM,28.357,0,
25148,12/19/17 04:45:00 AM,28.357,0,
25149,12/19/17 05:00:00 AM,28.258,0,
25150,12/19/17 05:15:00 AM,28.357,0,
25151,12/19/17 05:30:00 AM,28.357,0,
25152,12/19/17 05:45:00 AM,28.357,0,
25153,12/19/17 06:00:00 AM,28.357,0,
25154,12/19/17 06:15:00 AM,28.258,0,
25155,12/19/17 06:30:00 AM,28.159,0,
25156,12/19/17 06:45:00 AM,28.159,0,
25157,12/19/17 07:00:00 AM,28.159,21.5,
25158,12/19/17 07:15:00 AM,28.159,32.3,
25159,12/19/17 07:30:00 AM,28.159,43.1,
25160,12/19/17 07:45:00 AM,28.159,53.8,
25161,12/19/17 08:00:00 AM,28.159,64.6,
25162,12/19/17 08:15:00 AM,28.159,86.1,
25163,12/19/17 08:30:00 AM,28.06,107.6,
25164,12/19/17 08:45:00 AM,28.06,107.6,
25165,12/19/17 09:00:00 AM,27.961,129.2,
25166,12/19/17 09:15:00 AM,27.961,150.7,
25167,12/19/17 09:30:00 AM,27.961,150.7,
25168,12/19/17 09:45:00 AM,27.961,172.2,
25169,12/19/17 10:00:00 AM,27.961,204.5,
25170,12/19/17 10:15:00 AM,27.862,204.5,
25171,12/19/17 10:30:00 AM,27.764,226,
25172,12/19/17 10:45:00 AM,27.764,215.3,
25173,12/19/17 11:00:00 AM,27.764,236.8,
25174,12/19/17 11:15:00 AM,27.764,236.8,
25175,12/19/17 11:30:00 AM,27.764,236.8,
25176,12/19/17 11:45:00 AM,27.764,258.3,
25177,12/19/17 12:00:00 PM,27.862,312.2,
25178,12/19/17 12:15:00 PM,27.764,279.9,
