Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, °F (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ft² (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
1112,03/11/2017 20:14,84.654,0,,
1113,03/11/2017 21:14,84.474,0,,
1114,03/11/2017 22:14,84.474,0,,
1115,03/11/2017 23:14,84.474,0,,
1116,03/12/2017 00:14,84.474,0,,
1117,03/12/2017 01:14,85.014,0,,
1118,03/12/2017 02:14,84.834,0,,
1119,03/12/2017 03:14,84.654,0,,
1120,03/12/2017 04:14,84.654,0,,
1121,03/12/2017 05:14,84.654,0,,
1122,03/12/2017 06:14,84.474,1,,
1123,03/12/2017 07:14,84.654,68,,
1124,03/12/2017 08:14,84.654,184,,
1125,03/12/2017 09:14,84.834,352,,
1126,03/12/2017 10:14,85.014,480,,
1127,03/12/2017 11:14,85.014,608,,
1128,03/12/2017 12:14,85.014,608,,
1129,03/12/2017 13:14,85.735,768,,
1130,03/12/2017 14:14,85.915,512,,
1131,03/12/2017 15:14,85.915,352,,
1132,03/12/2017 16:14,85.915,136,,
1133,03/12/2017 17:14,85.374,45,,
1134,03/12/2017 18:14,85.194,4,,
1135,03/12/2017 19:14,85.194,0,,
1136,03/12/2017 20:14,85.014,0,,
1137,03/12/2017 21:14,85.014,0,,
1138,03/12/2017 22:14,85.014,0,,
1139,03/12/2017 23:14,85.014,0,,
1140,03/13/17 12:14:11 AM,84.834,0,,
1141,03/13/17 01:14:11 AM,85.374,0,,
1142,03/13/17 02:14:11 AM,84.834,0,,
1143,03/13/17 03:14:11 AM,85.014,0,,
1144,03/13/17 04:14:11 AM,84.834,0,,
1145,03/13/17 05:14:11 AM,84.834,0,,
1146,03/13/17 06:14:11 AM,84.654,1,,
1147,03/13/17 07:14:11 AM,84.654,52,,
1148,03/13/17 08:14:11 AM,84.834,160,,
1149,03/13/17 09:14:11 AM,85.014,304,,
1150,03/13/17 10:14:11 AM,85.194,400,,
1151,03/13/17 11:14:11 AM,85.194,496,,
1152,03/13/17 12:14:11 PM,85.374,416,,
1153,03/13/17 01:14:11 PM,85.374,176,,
1154,03/13/17 02:14:11 PM,85.554,144,,
1155,03/13/17 03:14:11 PM,85.735,272,,
1156,03/13/17 04:14:11 PM,85.554,176,,
1157,03/13/17 05:14:11 PM,85.554,69,,
1158,03/13/17 06:14:11 PM,85.194,3,,
1159,03/13/17 07:14:11 PM,85.374,0,,
1160,03/13/17 08:14:11 PM,85.374,0,,
1161,03/13/17 09:14:11 PM,85.194,0,,
1162,03/13/17 10:14:11 PM,85.194,0,,
1163,03/13/17 11:14:11 PM,85.194,0,,
1164,03/14/17 12:14:11 AM,85.194,0,,
1165,03/14/17 01:14:11 AM,85.374,0,,
1166,03/14/17 02:14:11 AM,85.014,0,,
1167,03/14/17 03:14:11 AM,84.654,0,,
1168,03/14/17 04:14:11 AM,84.654,0,,
1169,03/14/17 05:14:11 AM,84.474,0,,
