"","CoralID","Genus","Species","Origin","sourceGen","Destination","Rack","D","d","L","Weight","mlVol","C","DF","RI","area","peri","TH","time","Dl","dl","Ll","Wl","Vl","Al","Fl","Cl","Tl","Rl"
"174","PR_D_R_N_S_06","P","PR","D","D:PR:R","S","6",3.88,2.45,6.25,298,134,0.45858084905155,1.12251999851757,1.47669921146172,10.4613306599931,16.9313052550747,0.576560404856092,"t0",0.588831725594207,0.389166084364532,0.795880017344075,2.47421626407626,2.12710479836481,1.01958692942007,0.0501940870191999,-0.33858408594472,-0.239155185990405,0.169292042972362
"175","PR_D_R_S_D_08","P","PR","D","D:PR:R","D","8",3.29,3.15,5.77,275,127,0.57978608419838,1.15887307775344,1.31330653801917,18.2575786699999,19.8926494098206,0.74867060584609,"t0",0.517195897949974,0.4983105537896,0.761175813155731,2.43933269383026,2.10380372095596,1.26144318064709,0.0640358737118956,-0.236732212624315,-0.125709217719353,0.118366106312158
"176","PR_D_R_S_D_10","P","PR","D","D:PR:R","D","10",1.71,1.04,3.38,240,99,0.803173727492024,1.03120100480051,1.11582285601174,3.56667977999859,7.47020026771995,0.774915638324073,"t0",0.232996110392154,0.0170333392987804,0.528916700277655,2.38021124171161,1.99563519459755,0.552264119704956,0.0133433275213593,-0.0951905061152079,-0.110745574660872,0.0475952530576036
"177","PR_D_R_S_S_02","P","PR","D","D:PR:R","S","2",0.55,0.41,2.76,228,98,0.388053286745215,1.056947367664,1.60529301841302,2.95679940000082,9.78521065684515,2.02113236670959,"t0",-0.259637310505756,-0.387216143280265,0.440909082065218,2.35793484700045,1.99122607569249,0.470821861412186,0.0240533614775226,-0.411108633811939,0.305594756983438,0.205554316905969
"178","PR_D_R_S_S_04","P","PR","D","D:PR:R","S","4",1.39,0.98,7.36,281,129,0.576785689852414,1.13997202861592,1.31671796656476,5.05520713000078,10.4946309508471,1.07047416582087,"t0",0.143014800254095,-0.00877392430750515,0.866877814337499,2.44870631990508,2.11058971029925,0.70373895489704,0.0568941952252526,-0.238985523072307,0.0295761907553297,0.119492761536155
"179","PR_D_Y_N_D_05","P","PR","D","D:PR:Y","D","5",2.64,1.82,4.12,257,106,0.70575495246765,1.14005395959637,1.19034549543178,5.16791557000033,9.59258529940986,0.575145737509951,"t0",0.421603926869831,0.260071387985075,0.614897216033135,2.40993312333129,2.02530586526477,0.713315409827878,0.0569254073016987,-0.151346065612037,-0.240222094481289,0.075673032806018
"180","PR_D_Y_N_D_07","P","PR","D","D:PR:Y","D","7",1.6,0.93,3.23,242,110.5,0.687541571825839,1.18128503969236,1.20600891632215,2.29851265999969,6.48155037506643,0.676173253910337,"t0",0.204119982655925,-0.0315170514460649,0.509202522331103,2.38381536598043,2.04336227802113,0.361446900147614,0.0723547039040649,-0.162701037325004,-0.169942011785097,0.0813505186625024
"181","PR_D_Y_N_D_10","P","PR","D","D:PR:Y","D","10",1.31,1.12,3.99,255,115,0.441614263810177,1.16646776040258,1.50479886104496,6.41795273499883,13.5139293163704,1.17637840348635,"t0",0.117271295655764,0.0492180226701817,0.600972895686748,2.40654018043396,2.06069784035361,0.807396514410345,0.0668727399812523,-0.354956907665615,0.0705470429237751,0.177478453832809
"182","PR_D_Y_N_S_01","P","PR","D","D:PR:Y","S","1",2.01,1.57,4.03,257,112,0.599019933914619,1.12724149690378,1.29205012543284,7.543790239999,12.5799552609202,0.865698838245447,"t0",0.303196057420489,0.195899652409234,0.605305046141109,2.40993312333129,2.04921802267018,0.877589604056226,0.0520169679868624,-0.222558725114737,-0.062633165298848,0.111279362557369
"183","PR_D_Y_N_S_04","P","PR","D","D:PR:Y","S","4",1.44,1.35,5.15,267,120,0.56570820485481,1.08029665917027,1.32954720436246,6.92311503999917,12.4010788048849,1.06414701260622,"t0",0.15836249209525,0.130333768495006,0.711807229041191,2.42651126136458,2.07918124604762,0.840301548254761,0.0335430330323898,-0.247407522342624,0.027001630170696,0.123703761171314
