Plot Title: 10998654,,,,,
#,"Date Time, GMT+05:00","Temp, øF (LGR S/N: 10998654, SEN S/N: 10998654)","Intensity, lum/ftý (LGR S/N: 10998654, SEN S/N: 10998654)",Coupler Detached (LGR S/N: 10998654),End Of File (LGR S/N: 10998654)
342,02/07/2017 18:14,82.508,2,,
343,02/07/2017 19:14,82.508,0,,
344,02/07/2017 20:14,82.508,0,,
345,02/07/2017 21:14,82.508,0,,
346,02/07/2017 22:14,82.508,0,,
347,02/07/2017 23:14,82.508,0,,
348,02/08/2017 00:14,82.686,0,,
349,02/08/2017 01:14,82.508,0,,
350,02/08/2017 02:14,82.508,0,,
351,02/08/2017 03:14,82.508,0,,
352,02/08/2017 04:14,82.508,0,,
353,02/08/2017 05:14,82.508,0,,
354,02/08/2017 06:14,82.508,0,,
355,02/08/2017 07:14,82.508,32,,
356,02/08/2017 08:14,82.508,69,,
357,02/08/2017 09:14,82.686,152,,
358,02/08/2017 10:14,82.686,416,,
359,02/08/2017 11:14,82.864,464,,
360,02/08/2017 12:14,83.221,496,,
361,02/08/2017 13:14,83.221,448,,
362,02/08/2017 14:14,83.221,336,,
363,02/08/2017 15:14,82.864,224,,
364,02/08/2017 16:14,82.864,110,,
365,02/08/2017 17:14,82.686,36,,
366,02/08/2017 18:14,82.686,2,,
367,02/08/2017 19:14,82.686,0,,
368,02/08/2017 20:14,82.686,0,,
369,02/08/2017 21:14,82.686,0,,
370,02/08/2017 22:14,82.686,0,,
371,02/08/2017 23:14,83.221,0,,
372,02/09/2017 00:14,83.043,0,,
373,02/09/2017 01:14,83.043,0,,
374,02/09/2017 02:14,83.043,0,,
375,02/09/2017 03:14,83.043,0,,
376,02/09/2017 04:14,82.864,0,,
377,02/09/2017 05:14,82.864,0,,
378,02/09/2017 06:14,82.686,0,,
379,02/09/2017 07:14,82.686,27,,
380,02/09/2017 08:14,82.686,64,,
381,02/09/2017 09:14,82.686,160,,
382,02/09/2017 10:14,82.864,240,,
383,02/09/2017 11:14,83.221,416,,
384,02/09/2017 12:14,83.221,416,,
385,02/09/2017 13:14,83.399,400,,
386,02/09/2017 14:14,83.579,288,,
387,02/09/2017 15:14,83.399,136,,
388,02/09/2017 16:14,83.043,90,,
389,02/09/2017 17:14,83.221,48,,
390,02/09/2017 18:14,83.043,2,,
391,02/09/2017 19:14,82.864,0,,
392,02/09/2017 20:14,83.221,0,,
393,02/09/2017 21:14,83.043,0,,
394,02/09/2017 22:14,83.043,0,,
395,02/09/2017 23:14,82.864,0,,
396,02/10/2017 00:14,83.221,0,,
397,02/10/2017 01:14,83.043,0,,
398,02/10/2017 02:14,82.864,0,,
399,02/10/2017 03:14,82.864,0,,
400,02/10/2017 04:14,82.864,0,,
401,02/10/2017 05:14,82.864,0,,
402,02/10/2017 06:14,82.686,0,,
403,02/10/2017 07:14,82.686,27,,
404,02/10/2017 08:14,82.864,77,,
405,02/10/2017 09:14,82.864,128,,
406,02/10/2017 10:14,82.864,216,,
407,02/10/2017 11:14,83.043,320,,
408,02/10/2017 12:14,83.579,896,,
409,02/10/2017 13:14,83.757,864,,
410,02/10/2017 14:14,83.757,576,,
411,02/10/2017 15:14,83.757,368,,
412,02/10/2017 16:14,83.579,176,,
413,02/10/2017 17:14,83.579,66,,
414,02/10/2017 18:14,83.399,5,,
415,02/10/2017 19:14,83.043,0,,
416,02/10/2017 20:14,83.043,0,,
417,02/10/2017 21:14,83.043,0,,
418,02/10/2017 22:14,83.043,0,,
419,02/10/2017 23:14,83.043,0,,
420,02/11/2017 00:14,83.043,0,,
421,02/11/2017 01:14,83.043,0,,
422,02/11/2017 02:14,83.221,0,,
423,02/11/2017 03:14,83.043,0,,
424,02/11/2017 04:14,83.043,0,,
425,02/11/2017 05:14,83.043,0,,
