CoralID,ColonyCollection,DeploymentDate,Species,Origin,Genotype,Stained,Destination,Rack,D_i,d_i,L_i,Weight_i,mlVol_i,CollectionDate,D_f,d_f,L_f,Weight_f,mlVol_f
PR_D_R_N_D_03,21/01/2017,22/01/2017,PR,D,R,N,D,3,0.59,0.48,3.33,224,11.5,08/05/2018,7.33,7.31,2.93,273,131
PR_D_Y_S_D_03,23/01/2017,24/01/2017,PR,D,Y,S,D,3,1.86,1.62,5.52,262,110,08/05/2018,8.02,7.62,5.44,337,165
PR_S_B_N_D_03,20/01/2017,21/01/2017,PR,S,B,N,D,3,1.46,1.15,7.1,250,117,08/05/2018,4.68,4.04,8.14,301,154
PR_S_G_S_D_03,18/01/2017,19/01/2017,PR,S,G,S,D,3,1.86,0.87,2.72,224,92,08/05/2018,,,,,
PR_S_N_N_D_03,22/01/2017,23/01/2017,PR,S,N,N,D,3,2.87,1.66,4.66,297,128,08/05/2018,5.29,5.25,5.91,357,163
PR_S_R_N_D_03,20/01/2017,21/01/2017,PR,S,R,N,D,3,1.57,1.32,4.98,264,111,08/05/2018,5.68,5.63,6.36,320,141
PR_S_Y_N_D_03,18/01/2017,19/01/2017,PR,S,Y,N,D,3,2.66,1.83,4.63,296,100,08/05/2018,2.72,1.76,7.17,285, 
AD_D_B_N_S_04,19/01/2017,20/01/2017,AD,D,B,N,S,4,0.98,0.93,4.43,237,100,07/05/2018,,,,,
AD_D_G_N_S_04,21/01/2017,22/01/2017,AD,D,G,N,S,4,0.86,0.5,3.71,246,110,07/05/2018,,,,,
AD_D_R_N_S_04,21/01/2017,22/01/2017,AD,D,R,N,S,4,0.87,0.71,7.99,249,113,07/05/2018,,,,,
AD_D_Y_N_S_04,19/01/2017,20/01/2017,AD,D,Y,N,S,4,0.86,0.84,4.56,225,97,07/05/2018,,,,,
AD_S_B_S_S_04,18/01/2017,19/01/2017,AD,S,B,S,S,4,1.04,0.59,3.87,223,99,07/05/2018,4.45,3.25,3.51,264,124
AD_S_G_S_S_04,20/01/2017,21/01/2017,AD,S,G,S,S,4,0.85,0.66,5.18,243,104,07/05/2018,,,,,
AD_S_N_N_S_04,22/01/2017,23/01/2017,AD,S,N,N,S,4,1.24,0.75,5.86,259,110,07/05/2018,,,,,
AD_S_R_S_S_04,18/01/2017,19/01/2017,AD,S,R,S,S,4,0.74,0.67,4.31,209,91,07/05/2018,,,,,
AD_S_Y_N_S_04,20/01/2017,21/01/2017,AD,S,Y,N,S,4,0.9,0.48,4.83,236,98.5,07/05/2018,,,,,
AM_D_B_N_S_04,19/01/2017,20/01/2017,AM,D,B,N,S,4,0.7,0.69,4.5,241,99,07/05/2018,,,,,
AM_D_G_S_S_04,21/01/2017,22/01/2017,AM,D,G,S,S,4,0.84,0.74,6.49,260,113,07/05/2018,1.97,1.75,6.17,298,142
AM_D_N_N_S_04,23/01/2017,24/01/2017,AM,D,N,N,S,4,1.54,1.05,10.18,254,130,07/05/2018,,,,,
AM_D_R_N_S_04,21/01/2017,22/01/2017,AM,D,R,N,S,4,0.78,0.61,7.6,249,97.5,07/05/2018,2.48,1.97,7.58,297,141
AM_D_Y_N_S_04,19/01/2017,20/01/2017,AM,D,Y,N,S,4,0.7,0.72,5.41,221,93,07/05/2018,2.53,1.52,2.71,253,116
AM_S_B_S_S_04,18/01/2017,19/01/2017,AM,S,B,S,S,4,0.78,0.51,4.32,213,88,07/05/2018,,,,,
AM_S_N_S_S_04,22/01/2017,23/01/2017,AM,S,N,S,S,4,0.96,0.83,7.93,259,113,07/05/2018,3.86,2.34,8.4,337,160
